100000 2700
332 75 987
333 52 749
334 214 774
335 209 438
336 278 401
337 126 215
338 292 10
339 210 242
340 192 768
341 306 80
342 95 336
343 20 217
344 155 386
345 51 943
346 270 685
347 325 654
348 81 368
349 113 380
350 128 365
351 241 470
352 139 861
353 51 577
354 338 912
355 2 105
356 184 140
357 91 701
358 225 153
359 2 546
360 50 678
361 14 578
362 276 566
363 63 117
364 198 452
365 164 733
366 208 316
367 73 550
368 121 992
369 148 411
370 41 343
371 125 254
372 169 775
373 8 485
374 95 10
375 244 903
376 303 479
377 258 927
378 226 404
379 254 722
380 1 439
381 20 472
382 104 436
383 56 10
384 305 720
385 87 17
386 275 751
387 150 947
388 140 60
389 255 939
390 70 340
391 47 862
392 19 172
393 324 557
394 111 321
395 353 973
396 228 245
397 334 692
398 205 464
399 151 345
400 188 24
401 234 488
402 38 668
403 14 605
404 88 518
405 12 308
406 161 879
407 26 590
408 285 508
409 321 231
410 12 2
411 324 444
412 342 975
413 164 685
414 227 712
415 145 696
416 125 910
417 205 615
418 36 172
419 135 989
420 228 829
421 27 666
422 269 298
423 385 653
424 167 213
425 199 199
426 358 41
427 293 646
428 256 297
429 97 144
430 357 495
431 56 262
432 117 438
433 188 603
434 142 795
435 351 546
436 29 317
437 218 362
438 390 72
439 2 697
440 373 889
441 425 246
442 379 524
443 40 808
444 141 240
445 294 619
446 96 829
447 238 603
448 128 791
449 420 122
450 195 293
451 3 586
452 437 182
453 33 170
454 113 810
455 363 422
456 368 130
457 432 986
458 342 227
459 248 269
460 113 85
461 372 546
462 55 394
463 155 745
464 348 702
465 67 191
466 186 945
467 135 317
468 291 36
469 29 93
470 301 986
471 392 857
472 301 155
473 103 895
474 153 712
475 356 978
476 348 944
477 31 541
478 192 782
479 53 360
480 437 719
481 102 671
482 386 242
483 378 840
484 108 993
485 162 823
486 125 897
487 284 378
488 243 4
489 298 272
490 465 634
491 253 664
492 56 643
493 255 105
494 416 883
495 79 754
496 473 293
497 167 746
498 442 62
499 192 379
500 179 362
501 114 900
502 175 145
503 394 202
504 454 659
505 220 657
506 334 359
507 169 626
508 396 349
509 155 221
510 129 202
511 310 862
512 49 622
513 135 58
514 420 922
515 232 497
516 150 94
517 363 786
518 229 364
519 333 906
520 268 279
521 508 327
522 508 365
523 38 505
524 138 687
525 132 163
526 6 329
527 163 255
528 87 138
529 44 238
530 323 171
531 417 415
532 114 890
533 502 925
534 357 780
535 29 172
536 456 12
537 389 895
538 259 734
539 154 238
540 361 369
541 444 378
542 498 43
543 62 206
544 321 834
545 70 857
546 80 486
547 41 672
548 382 157
549 345 316
550 509 329
551 54 336
552 99 153
553 217 953
554 488 50
555 146 750
556 184 144
557 446 433
558 416 991
559 72 620
560 427 310
561 294 798
562 203 280
563 96 174
564 456 928
565 355 740
566 380 502
567 295 638
568 42 556
569 487 294
570 105 436
571 429 453
572 189 838
573 501 166
574 344 220
575 62 962
576 133 138
577 86 917
578 139 282
579 147 634
580 566 737
581 23 385
582 467 271
583 468 484
584 515 40
585 93 534
586 572 941
587 408 731
588 393 353
589 37 207
590 533 538
591 133 88
592 159 970
593 28 854
594 60 919
595 444 998
596 13 809
597 101 831
598 476 412
599 552 885
600 294 789
601 144 418
602 457 662
603 203 800
604 295 413
605 285 287
606 483 722
607 189 891
608 279 343
609 57 600
610 53 754
611 430 25
612 440 65
613 584 761
614 150 993
615 191 144
616 283 501
617 536 401
618 20 903
619 26 556
620 541 547
621 212 730
622 316 123
623 256 915
624 623 28
625 78 162
626 612 770
627 230 760
628 306 809
629 409 629
630 588 670
631 320 194
632 543 18
633 212 933
634 233 173
635 143 480
636 417 518
637 461 535
638 96 755
639 8 917
640 7 108
641 75 924
642 283 414
643 549 165
644 493 564
645 247 934
646 484 793
647 437 235
648 42 469
649 504 979
650 215 116
651 268 135
652 609 902
653 374 550
654 398 882
655 2 672
656 628 626
657 489 112
658 367 330
659 49 494
660 225 828
661 168 466
662 641 47
663 234 64
664 565 136
665 38 496
666 367 935
667 159 2
668 13 276
669 116 779
670 583 584
671 319 941
672 13 966
673 216 844
674 229 435
675 622 344
676 128 143
677 181 292
678 209 973
679 443 847
680 383 270
681 264 750
682 242 285
683 125 859
684 435 853
685 24 872
686 366 405
687 163 916
688 329 420
689 436 688
690 680 985
691 474 853
692 140 966
693 9 916
694 686 914
695 640 594
696 45 559
697 372 661
698 635 885
699 621 256
700 251 913
701 152 196
702 431 694
703 473 626
704 358 649
705 29 33
706 138 906
707 282 419
708 665 366
709 612 460
710 179 576
711 351 505
712 626 874
713 63 818
714 562 475
715 381 570
716 623 226
717 456 440
718 350 473
719 474 2
720 209 195
721 577 166
722 66 43
723 391 23
724 298 128
725 348 442
726 30 4
727 670 854
728 240 948
729 241 580
730 246 232
731 635 354
732 393 959
733 596 590
734 279 649
735 685 989
736 124 78
737 65 84
738 301 850
739 439 253
740 166 61
741 723 238
742 282 713
743 171 805
744 463 110
745 64 980
746 280 435
747 193 260
748 240 560
749 414 696
750 303 984
751 182 675
752 681 413
753 43 298
754 271 980
755 221 667
756 386 617
757 14 542
758 365 513
759 478 818
760 451 54
761 396 593
762 670 959
763 398 966
764 625 508
765 660 580
766 172 463
767 457 246
768 657 799
769 525 93
770 730 723
771 710 635
772 725 895
773 339 490
774 404 567
775 657 618
776 593 635
777 211 440
778 214 11
779 481 45
780 53 293
781 618 395
782 12 262
783 279 655
784 552 312
785 247 479
786 453 128
787 413 821
788 150 382
789 501 28
790 160 325
791 457 36
792 66 782
793 762 748
794 651 497
795 694 80
796 254 276
797 114 633
798 371 826
799 193 576
800 692 216
801 518 761
802 333 49
803 692 292
804 437 185
805 136 253
806 128 678
807 316 875
808 143 354
809 719 330
810 314 48
811 779 903
812 130 321
813 385 339
814 582 534
815 353 223
816 621 68
817 676 251
818 114 498
819 111 959
820 541 158
821 704 518
822 526 938
823 478 950
824 775 963
825 586 701
826 552 719
827 499 384
828 791 336
829 653 887
830 113 103
831 106 740
832 524 497
833 811 923
834 342 750
835 159 870
836 196 827
837 322 788
838 822 309
839 431 110
840 63 14
841 837 872
842 161 906
843 749 257
844 241 861
845 264 336
846 608 541
847 177 944
848 687 716
849 727 705
850 366 951
851 37 697
852 824 608
853 587 505
854 288 51
855 190 761
856 654 886
857 51 968
858 565 732
859 421 695
860 759 219
861 441 259
862 430 861
863 79 221
864 4 188
865 343 826
866 180 682
867 644 175
868 453 252
869 565 65
870 168 298
871 378 443
872 868 312
873 736 184
874 420 513
875 255 51
876 742 639
877 768 407
878 828 308
879 813 451
880 726 434
881 337 612
882 383 480
883 481 496
884 299 579
885 13 365
886 748 858
887 696 130
888 433 436
889 82 849
890 511 845
891 346 137
892 432 823
893 214 437
894 738 207
895 667 351
896 333 903
897 856 680
898 703 455
899 786 57
900 535 365
901 815 304
902 328 344
903 151 150
904 762 653
905 518 654
906 749 283
907 762 94
908 146 622
909 551 616
910 224 438
911 167 100
912 691 148
913 125 755
914 816 426
915 761 959
916 98 806
917 903 475
918 592 799
919 754 321
920 689 849
921 559 472
922 341 231
923 445 496
924 368 890
925 559 133
926 748 41
927 850 420
928 866 671
929 134 463
930 911 707
931 492 447
932 761 227
933 502 134
934 926 515
935 407 415
936 379 96
937 585 390
938 773 305
939 885 59
940 497 378
941 241 507
942 144 715
943 853 4
944 243 886
945 133 26
946 195 174
947 942 772
948 887 803
949 615 423
950 168 440
951 730 846
952 480 902
953 382 394
954 721 359
955 890 768
956 786 954
957 277 867
958 614 354
959 55 380
960 761 640
961 685 670
962 927 895
963 937 490
964 15 996
965 620 194
966 675 45
967 530 963
968 694 517
969 966 10
970 493 843
971 55 63
972 21 726
973 205 613
974 592 897
975 399 561
976 226 822
977 513 91
978 431 312
979 826 577
980 49 213
981 627 625
982 862 516
983 835 522
984 296 501
985 375 672
986 748 778
987 538 521
988 268 649
989 339 964
990 890 164
991 125 717
992 666 734
993 298 751
994 381 52
995 953 870
996 135 231
997 91 420
998 263 193
999 419 442
1000 244 280
1001 201 56
1002 306 335
1003 579 194
1004 416 395
1005 415 834
1006 743 169
1007 227 20
1008 438 364
1009 930 128
1010 33 512
1011 903 751
1012 622 900
1013 378 159
1014 537 492
1015 479 187
1016 790 740
1017 326 438
1018 351 968
1019 108 82
1020 839 707
1021 923 439
1022 574 936
1023 783 78
1024 796 418
1025 441 226
1026 189 356
1027 123 773
1028 734 677
1029 774 918
1030 12 256
1031 601 209
1032 458 59
1033 354 285
1034 727 638
1035 346 799
1036 24 449
1037 806 552
1038 132 312
1039 221 834
1040 262 651
1041 145 984
1042 154 670
1043 841 452
1044 270 970
1045 1043 451
1046 720 857
1047 529 481
1048 980 811
1049 411 368
1050 7 148
1051 400 838
1052 725 747
1053 401 338
1054 474 667
1055 85 101
1056 923 103
1057 434 468
1058 697 375
1059 319 767
1060 905 526
1061 24 223
1062 311 917
1063 615 71
1064 641 718
1065 382 212
1066 357 906
1067 676 189
1068 254 790
1069 868 506
1070 185 697
1071 672 26
1072 877 577
1073 422 979
1074 511 752
1075 294 282
1076 498 888
1077 807 64
1078 633 309
1079 472 398
1080 430 944
1081 393 646
1082 1043 753
1083 598 858
1084 963 469
1085 709 396
1086 502 626
1087 982 869
1088 1002 418
1089 867 295
1090 947 438
1091 265 711
1092 770 690
1093 377 169
1094 974 53
1095 1048 298
1096 411 391
1097 577 964
1098 338 415
1099 901 509
1100 640 40
1101 1030 164
1102 276 597
1103 311 876
1104 741 936
1105 539 329
1106 410 107
1107 639 892
1108 825 238
1109 132 297
1110 505 111
1111 1060 529
1112 123 132
1113 658 879
1114 691 545
1115 668 61
1116 191 875
1117 454 650
1118 866 401
1119 53 225
1120 144 141
1121 959 847
1122 806 45
1123 297 100
1124 113 618
1125 303 876
1126 951 110
1127 124 679
1128 1013 173
1129 1056 801
1130 253 71
1131 803 511
1132 746 537
1133 793 76
1134 621 220
1135 382 508
1136 521 439
1137 34 675
1138 892 543
1139 114 775
1140 756 348
1141 171 866
1142 374 827
1143 356 577
1144 687 578
1145 568 759
1146 211 855
1147 35 677
1148 395 356
1149 610 881
1150 917 752
1151 1073 493
1152 791 327
1153 144 934
1154 344 94
1155 406 553
1156 678 182
1157 660 492
1158 472 56
1159 259 656
1160 618 455
1161 774 576
1162 25 503
1163 77 951
1164 712 414
1165 563 76
1166 154 779
1167 300 565
1168 326 180
1169 32 787
1170 42 844
1171 35 463
1172 1064 277
1173 1065 750
1174 1050 654
1175 115 467
1176 259 794
1177 571 462
1178 1027 267
1179 712 601
1180 705 117
1181 1080 356
1182 244 108
1183 373 786
1184 1053 286
1185 65 455
1186 177 888
1187 356 761
1188 458 481
1189 988 473
1190 303 238
1191 1022 264
1192 714 734
1193 482 377
1194 853 639
1195 931 638
1196 722 169
1197 260 219
1198 637 181
1199 98 483
1200 564 96
1201 426 596
1202 852 871
1203 249 429
1204 513 413
1205 563 982
1206 1165 429
1207 580 311
1208 71 540
1209 798 160
1210 1203 833
1211 489 966
1212 1135 846
1213 1186 314
1214 792 730
1215 91 193
1216 126 558
1217 26 881
1218 1216 224
1219 787 392
1220 284 3
1221 616 938
1222 739 467
1223 1101 502
1224 944 148
1225 1057 511
1226 662 678
1227 501 49
1228 1119 829
1229 806 420
1230 229 956
1231 270 9
1232 611 398
1233 293 636
1234 939 69
1235 1216 128
1236 251 354
1237 916 625
1238 287 898
1239 182 81
1240 120 827
1241 455 491
1242 871 552
1243 1232 384
1244 864 943
1245 580 670
1246 740 299
1247 457 496
1248 11 553
1249 866 727
1250 336 12
1251 747 129
1252 671 271
1253 891 65
1254 595 733
1255 772 489
1256 31 591
1257 1172 805
1258 334 816
1259 591 942
1260 143 458
1261 1102 597
1262 292 492
1263 299 462
1264 522 585
1265 729 475
1266 583 269
1267 1121 863
1268 464 845
1269 1120 649
1270 62 953
1271 207 179
1272 312 610
1273 1080 167
1274 373 365
1275 1058 202
1276 472 783
1277 1229 98
1278 359 20
1279 242 76
1280 958 586
1281 664 575
1282 1153 237
1283 1088 197
1284 1230 665
1285 1030 467
1286 523 470
1287 284 633
1288 1224 434
1289 191 724
1290 1069 810
1291 1119 248
1292 329 579
1293 840 620
1294 935 523
1295 1079 244
1296 3 902
1297 1090 962
1298 930 184
1299 732 59
1300 703 725
1301 265 611
1302 452 717
1303 134 355
1304 1282 147
1305 676 216
1306 129 40
1307 855 245
1308 253 673
1309 471 835
1310 591 872
1311 1177 801
1312 766 396
1313 1129 838
1314 123 230
1315 139 184
1316 1279 865
1317 1026 467
1318 1085 587
1319 643 549
1320 1243 885
1321 951 712
1322 1049 684
1323 1314 352
1324 878 65
1325 1054 936
1326 44 981
1327 1128 257
1328 859 348
1329 1268 446
1330 630 210
1331 689 215
1332 1197 279
1333 523 947
1334 286 911
1335 876 132
1336 729 4
1337 684 712
1338 1332 282
1339 463 505
1340 135 623
1341 80 932
1342 295 633
1343 822 351
1344 11 351
1345 587 125
1346 1215 187
1347 788 560
1348 479 84
1349 930 149
1350 1029 732
1351 508 558
1352 779 189
1353 589 903
1354 675 46
1355 572 972
1356 53 915
1357 487 611
1358 379 545
1359 449 4
1360 1170 935
1361 866 927
1362 326 32
1363 56 914
1364 1232 117
1365 207 653
1366 320 656
1367 604 938
1368 564 396
1369 846 825
1370 458 647
1371 1006 747
1372 994 915
1373 1332 650
1374 926 532
1375 1138 146
1376 359 657
1377 546 197
1378 312 77
1379 169 159
1380 1053 915
1381 540 729
1382 1375 803
1383 415 791
1384 199 877
1385 408 268
1386 1083 153
1387 979 815
1388 901 126
1389 732 713
1390 1170 239
1391 545 330
1392 1113 97
1393 37 197
1394 410 948
1395 864 661
1396 952 729
1397 655 632
1398 610 541
1399 700 45
1400 386 549
1401 1347 523
1402 988 117
1403 177 472
1404 187 439
1405 1269 998
1406 902 505
1407 743 885
1408 710 645
1409 163 179
1410 379 198
1411 1306 475
1412 655 982
1413 671 821
1414 337 187
1415 446 624
1416 10 542
1417 803 271
1418 276 454
1419 913 343
1420 1172 495
1421 800 976
1422 1094 794
1423 577 207
1424 1402 884
1425 27 94
1426 538 547
1427 937 535
1428 427 992
1429 1398 277
1430 1188 471
1431 721 534
1432 62 723
1433 522 233
1434 1028 740
1435 782 207
1436 136 515
1437 48 645
1438 1083 913
1439 1222 527
1440 615 761
1441 1208 438
1442 1391 95
1443 1202 30
1444 743 207
1445 1136 186
1446 450 612
1447 26 725
1448 412 435
1449 279 584
1450 355 953
1451 641 658
1452 343 465
1453 1166 226
1454 383 198
1455 832 270
1456 49 293
1457 1028 967
1458 199 801
1459 220 520
1460 220 462
1461 609 376
1462 140 323
1463 1046 250
1464 1006 109
1465 1180 205
1466 1324 513
1467 1047 264
1468 1323 331
1469 540 995
1470 281 626
1471 905 578
1472 447 810
1473 1328 354
1474 410 981
1475 32 439
1476 662 424
1477 155 385
1478 772 488
1479 157 546
1480 429 563
1481 1313 594
1482 979 279
1483 266 780
1484 410 406
1485 642 470
1486 681 696
1487 1357 419
1488 507 626
1489 1395 347
1490 1201 160
1491 1345 919
1492 174 88
1493 1442 967
1494 57 921
1495 800 907
1496 1424 374
1497 1473 801
1498 1427 604
1499 837 516
1500 635 351
1501 684 629
1502 1436 276
1503 330 968
1504 989 832
1505 695 518
1506 814 328
1507 1368 230
1508 1261 413
1509 561 101
1510 972 716
1511 410 654
1512 282 719
1513 1437 452
1514 925 832
1515 1039 663
1516 949 84
1517 134 693
1518 60 99
1519 1298 651
1520 413 999
1521 1424 271
1522 591 149
1523 658 711
1524 27 743
1525 369 756
1526 572 530
1527 1070 871
1528 1119 381
1529 986 699
1530 746 767
1531 488 438
1532 883 247
1533 1302 267
1534 1071 666
1535 1119 951
1536 893 742
1537 1443 429
1538 916 997
1539 984 458
1540 1307 948
1541 232 865
1542 699 989
1543 1058 421
1544 84 345
1545 1 31
1546 1385 907
1547 1362 760
1548 327 899
1549 463 114
1550 1310 918
1551 752 639
1552 617 823
1553 151 658
1554 696 810
1555 1437 190
1556 1080 106
1557 864 110
1558 1454 706
1559 409 350
1560 1056 714
1561 190 405
1562 706 882
1563 340 327
1564 1277 736
1565 623 373
1566 1270 157
1567 1372 226
1568 764 738
1569 1355 101
1570 1426 519
1571 442 591
1572 1493 696
1573 140 559
1574 84 155
1575 1217 581
1576 1255 360
1577 1318 283
1578 751 760
1579 501 464
1580 1269 26
1581 1045 640
1582 362 976
1583 730 614
1584 1521 211
1585 1112 48
1586 435 819
1587 1466 634
1588 427 13
1589 277 60
1590 303 718
1591 1100 383
1592 1035 346
1593 771 312
1594 527 350
1595 209 519
1596 240 981
1597 686 324
1598 1071 37
1599 1318 379
1600 1435 768
1601 323 421
1602 17 671
1603 1434 994
1604 255 402
1605 511 181
1606 302 821
1607 129 230
1608 1400 560
1609 584 416
1610 1000 263
1611 743 380
1612 283 8
1613 1132 186
1614 857 190
1615 1262 561
1616 984 936
1617 123 87
1618 92 380
1619 1187 877
1620 437 308
1621 493 291
1622 1297 841
1623 379 783
1624 953 764
1625 564 844
1626 763 469
1627 1569 371
1628 448 258
1629 1425 292
1630 956 877
1631 1526 169
1632 1233 398
1633 617 877
1634 525 103
1635 763 204
1636 1616 990
1637 1013 927
1638 1034 789
1639 828 360
1640 838 72
1641 54 963
1642 192 442
1643 1506 737
1644 223 566
1645 817 969
1646 526 798
1647 763 253
1648 792 787
1649 47 859
1650 905 293
1651 650 583
1652 219 670
1653 1109 372
1654 778 251
1655 1311 507
1656 63 876
1657 114 275
1658 718 728
1659 1167 552
1660 359 410
1661 634 6
1662 1312 718
1663 887 682
1664 799 215
1665 1207 283
1666 1118 756
1667 430 557
1668 824 48
1669 1270 129
1670 1379 463
1671 180 620
1672 389 699
1673 1274 909
1674 649 685
1675 1110 601
1676 551 293
1677 75 813
1678 1103 229
1679 840 146
1680 719 260
1681 220 0
1682 1259 88
1683 1224 780
1684 1187 729
1685 431 356
1686 789 725
1687 226 751
1688 891 963
1689 763 874
1690 1099 37
1691 703 277
1692 449 749
1693 523 217
1694 563 904
1695 1517 864
1696 1235 595
1697 364 23
1698 63 247
1699 846 223
1700 665 966
1701 305 657
1702 473 885
1703 1558 963
1704 1182 724
1705 835 331
1706 411 109
1707 560 151
1708 1084 312
1709 1008 589
1710 1462 54
1711 1574 182
1712 83 781
1713 423 486
1714 422 241
1715 1617 807
1716 27 768
1717 427 355
1718 1174 707
1719 1493 873
1720 858 963
1721 641 468
1722 1085 55
1723 1283 363
1724 705 359
1725 1614 360
1726 1317 898
1727 1126 599
1728 225 178
1729 1151 152
1730 835 687
1731 146 933
1732 161 630
1733 1615 54
1734 1626 917
1735 605 187
1736 463 71
1737 1197 749
1738 537 366
1739 1497 104
1740 118 897
1741 853 746
1742 1422 693
1743 746 516
1744 1312 82
1745 1496 527
1746 1505 460
1747 564 591
1748 219 708
1749 728 113
1750 161 48
1751 229 331
1752 829 631
1753 924 253
1754 1100 354
1755 617 841
1756 2 24
1757 1147 985
1758 109 269
1759 1374 797
1760 922 666
1761 580 713
1762 1441 963
1763 1585 952
1764 984 314
1765 1085 178
1766 1409 378
1767 442 910
1768 993 991
1769 806 124
1770 948 495
1771 499 264
1772 1445 786
1773 1686 935
1774 561 452
1775 1712 586
1776 580 938
1777 501 52
1778 623 611
1779 1456 302
1780 504 513
1781 935 426
1782 1357 695
1783 839 75
1784 771 747
1785 1368 64
1786 1114 625
1787 1512 253
1788 1611 571
1789 957 558
1790 551 206
1791 1633 386
1792 1053 614
1793 525 471
1794 1249 18
1795 1290 438
1796 1264 665
1797 750 61
1798 687 76
1799 873 614
1800 861 813
1801 984 80
1802 1688 676
1803 1368 19
1804 415 625
1805 768 957
1806 276 917
1807 911 721
1808 709 920
1809 87 617
1810 851 782
1811 508 743
1812 1044 481
1813 429 220
1814 794 20
1815 142 147
1816 227 919
1817 673 982
1818 745 888
1819 1665 875
1820 1451 443
1821 995 767
1822 1781 935
1823 663 688
1824 1749 77
1825 1216 677
1826 580 785
1827 1173 525
1828 1109 924
1829 430 582
1830 737 253
1831 386 4
1832 1309 497
1833 544 839
1834 669 246
1835 655 509
1836 27 700
1837 8 955
1838 1639 848
1839 866 647
1840 55 709
1841 1551 112
1842 346 65
1843 442 78
1844 625 413
1845 594 790
1846 206 824
1847 275 307
1848 159 957
1849 23 310
1850 1333 978
1851 894 787
1852 1537 91
1853 753 986
1854 1570 610
1855 613 863
1856 1116 260
1857 1214 630
1858 1013 212
1859 538 288
1860 225 970
1861 1384 363
1862 88 448
1863 763 523
1864 1434 627
1865 392 568
1866 20 42
1867 882 984
1868 111 676
1869 751 808
1870 191 643
1871 1091 689
1872 1093 746
1873 953 530
1874 699 637
1875 930 308
1876 1243 812
1877 1596 629
1878 38 851
1879 76 479
1880 1338 855
1881 1020 180
1882 743 631
1883 890 775
1884 720 385
1885 1328 362
1886 664 109
1887 848 398
1888 300 144
1889 1363 397
1890 1667 31
1891 6 68
1892 210 310
1893 675 555
1894 635 33
1895 1571 736
1896 1676 175
1897 287 754
1898 1376 350
1899 207 199
1900 1059 231
1901 456 836
1902 1780 598
1903 492 451
1904 118 169
1905 1579 676
1906 615 960
1907 611 508
1908 1339 66
1909 1336 659
1910 1458 616
1911 172 309
1912 1393 901
1913 1294 231
1914 1561 647
1915 1577 737
1916 1540 572
1917 837 679
1918 1725 717
1919 228 592
1920 288 785
1921 251 16
1922 244 771
1923 869 255
1924 523 88
1925 510 2
1926 183 58
1927 1265 32
1928 628 466
1929 298 192
1930 448 361
1931 1713 340
1932 37 365
1933 107 168
1934 511 759
1935 872 563
1936 694 646
1937 967 459
1938 873 602
1939 650 417
1940 776 347
1941 746 774
1942 1927 283
1943 308 924
1944 887 700
1945 1643 394
1946 1320 849
1947 1759 378
1948 1790 431
1949 175 680
1950 1005 383
1951 1431 81
1952 280 962
1953 1567 462
1954 1782 67
1955 864 320
1956 132 224
1957 5 891
1958 1184 0
1959 1240 140
1960 801 459
1961 1534 129
1962 835 209
1963 1944 998
1964 583 897
1965 1820 123
1966 732 39
1967 1191 460
1968 384 290
1969 226 45
1970 804 797
1971 300 417
1972 1650 150
1973 1267 865
1974 1401 382
1975 1151 605
1976 1768 571
1977 132 715
1978 1671 265
1979 740 720
1980 1813 79
1981 572 886
1982 377 862
1983 485 249
1984 477 363
1985 287 264
1986 1311 336
1987 204 651
1988 1214 351
1989 152 769
1990 1325 2
1991 1931 86
1992 1968 130
1993 1669 256
1994 760 653
1995 335 877
1996 1910 98
1997 456 962
1998 1092 613
1999 617 57
2000 1886 258
2001 63 434
2002 948 232
2003 719 782
2004 1808 201
2005 1116 580
2006 554 756
2007 1062 688
2008 1494 625
2009 1984 929
2010 1007 20
2011 106 675
2012 1526 941
2013 1669 436
2014 485 439
2015 421 835
2016 1961 897
2017 1167 216
2018 898 951
2019 1796 317
2020 104 54
2021 1658 648
2022 1650 56
2023 2004 347
2024 1809 789
2025 1728 814
2026 1510 637
2027 2001 977
2028 274 619
2029 30 883
2030 184 708
2031 587 918
2032 1823 124
2033 1937 689
2034 542 829
2035 885 46
2036 787 171
2037 1207 134
2038 684 776
2039 1005 641
2040 2002 173
2041 1259 709
2042 532 600
2043 595 55
2044 349 830
2045 165 427
2046 580 993
2047 103 944
2048 925 186
2049 1025 347
2050 546 707
2051 1800 182
2052 464 731
2053 1654 870
2054 161 607
2055 1294 454
2056 1495 188
2057 1914 996
2058 1751 672
2059 1530 335
2060 121 436
2061 1093 343
2062 563 116
2063 706 211
2064 1280 269
2065 36 716
2066 1220 795
2067 1954 496
2068 1763 60
2069 1966 516
2070 1551 61
2071 598 408
2072 491 625
2073 365 381
2074 815 726
2075 1377 664
2076 1462 239
2077 1441 528
2078 1404 79
2079 1663 686
2080 441 183
2081 93 814
2082 1940 673
2083 1690 92
2084 1062 384
2085 2065 227
2086 414 622
2087 1728 708
2088 1641 858
2089 1564 465
2090 753 805
2091 1487 782
2092 75 183
